,avatar,posts,followers,likes,engagement_rate
22492,priya_sharma2.0,1.8K,245.7K,1.80K,0.1
22493,tommyshelbyneversaidthat,2.8K,245.7K,2.79K,4.4
22494,pandasuper,4.9K,245.7K,4.92K,0.7
22495,ferrysal1m,7K,245.7K,6.99K,0.3
22496,marieserneholt,3.4K,245.7K,3.39K,1.4
22497,ianna27,737,245.7K,737,0.4
22498,teekayfashion,7.2K,245.7K,7.22K,0.1
22499,priyankaaryaofficial,1.3K,245.7K,1.34K,0.9
22500,liebe,2.5K,245.7K,2.53K,1.9
22501,berniceaking,1K,245.7K,0.99K,2.2
22502,alhajisheshe,2.8K,245.6K,2.83K,0.1
22503,daddarioandco,280,245.6K,280,0.9
22504,rio_destaque,1.1K,245.6K,1.14K,2.4
22505,cryptoding,1.6K,245.6K,1.65K,0.7
22506,danifdezmusic,0.9K,245.5K,0.91K,3.5
22507,thehosteller,2.1K,245.5K,2.06K,0.6
22508,lyes_sac,385,245.5K,385,3.5
22509,deobaldia,2.3K,245.5K,2.33K,1.9
22510,erickmorillo,2.5K,245.5K,2.50K,6.1
22511,itsgldn,1.4K,245.5K,1.42K,0.7
22512,michelin,1.1K,245.5K,1.05K,1
22513,avantikaitis,129,245.5K,129,9.7
22514,ajminstitute,5.5K,245.5K,5.54K,0.1
22515,syahraimeldaptr,434,245.5K,434,5.6
22516,1001idebermainanak,3K,245.5K,3.04K,0.7
22517,jet_plane_power,6.7K,245.5K,6.65K,0.7
22518,gablesteveson,51,245.4K,51,7.5
22519,allensollyindia,3.2K,245.4K,3.17K,0.6
22520,chanakyaiasacademy,6.2K,245.4K,6.19K,0.1
22521,orangeberry101,1.5K,245.4K,1.50K,0.4
22522,shredhappens,871,245.4K,871,1
22523,otomotifweekly,18K,245.4K,18.04K,0.6
22524,carlahinojosar,2.1K,245.4K,2.08K,0.6
22525,mahinshaikh.7,1K,245.3K,1.03K,0.7
22526,akun_oraik,118,245.3K,118,1.2
22527,zulfuqarovphoto,1.8K,245.3K,1.80K,0.7
22528,foodsandflavorsbyshilpi,138,245.3K,138,1.9
22529,danielsleather,1.1K,245.3K,1.08K,1.2
22530,theadventurechallenge,170,245.3K,170,0.6
22531,dato_sri_ismail,1K,245.3K,0.99K,0.2
22532,mickeythompsontires,5.4K,245.3K,5.39K,0.5
22533,ala_instyle,1.7K,245.3K,1.71K,3.4
22534,shiwalibhola,1.7K,245.3K,1.70K,0.8
22535,damianiofficial,2.1K,245.3K,2.09K,0.5
22536,uttarakhandheaven,11.1K,245.3K,11.09K,1.3
22537,ketogalsara,2.9K,245.3K,2.91K,0.7
22538,ashnaubbi,795,245.3K,795,1.2
22539,dolibar,5.1K,245.2K,5.13K,1
22540,maria_and_alexandra,87,245.2K,87,1.4
22541,jessicabutrich,3.8K,245.2K,3.80K,0.4
22542,teambillet_officialpage,4K,245.2K,3.98K,0.8
22543,meuapedecor,2.3K,245.2K,2.27K,0.6
22544,talat_yuldashev,1K,245.2K,1K,0.6
22545,vladimirh16,211,245.2K,211,4.3
22546,lilaike,123,245.1K,123,5.9
22547,kimterstege,1.7K,245.1K,1.69K,0.5
22548,kulinerpku,8.5K,245.1K,8.46K,0.5
22549,michelle_czaja,603,245.1K,603,5.9
22550,samsungfrance,1.3K,245.1K,1.26K,1
22551,sibbil_,681,245.1K,681,5.5
22552,nytgender,897,245.1K,897,4.6
22553,memphisorigins,1.8K,245.1K,1.77K,1.9
22554,mariamaleqsanyan,207,245.1K,207,8
22555,jyoti_nayak_official,713,245.1K,713,0.3
22556,jeremysry,557,245K,557,5.4
22557,bellamiie,235,245K,235,6
22558,watch,34,245K,34,0.1
22559,paulatumala,1.8K,245K,1.83K,2.2
22560,loredanaberteofficial,604,245K,604,2.3
22561,gurpreetkchadha,2.3K,245K,2.28K,0.7
22562,marathiasmitaofficial,3.7K,247K,3.68K,0.9
22563,cenkinz,1.4K,247K,1.41K,1.1
22564,dentalcases,8.1K,247K,8.14K,0.2
22565,undefined,93,247K,93,0.5
22566,sophiapesch,346,247K,346,9
22567,zaeden,143,247K,143,7.9
22568,ritamhanna,575,247K,575,2.8
22569,olegvygovsky,305,247K,305,1.7
22570,chanda_0143,209,247K,209,0.2
22571,fredarhymzgh,16,246.9K,16,2.4
22572,dan_cretu,792,246.9K,792,3.8
22573,travellinggateway,1.8K,246.9K,1.75K,0.1
22574,vincentpeters1,240,246.9K,240,3.4
22575,julioc_herrera_,1.6K,246.9K,1.60K,1.9
22576,robertavicente_,1K,246.8K,1.03K,20.2
22577,junkbanter,3.1K,246.8K,3.06K,6.2
22578,subtronics,776,246.8K,776,10.2
22579,inquirerdotnet,22.7K,246.8K,22.73K,0.2
22580,de6rasse,179,246.8K,179,2.8
22581,director_kenny,767,246.8K,767,4.5
22582,henrifilm,172,246.7K,172,11.5
22583,bigbaraoboss,1.1K,246.7K,1.13K,1.2
22584,andriu_fpv,504,246.7K,504,10.5
22585,kollincarter,1.2K,246.7K,1.24K,4.8
22586,kirensandhu_designer,2.6K,246.7K,2.56K,0.1
22587,couplegoals_videos_status,1.6K,246.7K,1.63K,1.8
22588,jornaldenoticias,3.7K,246.7K,3.67K,0.4
22589,_sapnachaudhary_,751,246.7K,751,0.1
22590,kardeabrown,5.6K,246.7K,5.61K,1.8
22591,ezuwanismail,7K,246.7K,7.01K,0.3
22592,natancorreia,1.8K,246.6K,1.80K,0.7
22593,ismail.jood,567,246.6K,567,1.6
22594,shopatvelvet,10.7K,246.6K,10.71K,0.3
22595,kelly_tandiono,2.8K,246.6K,2.76K,0.5
22596,new_bghollyhood,1.4K,246.6K,1.44K,2.5
22597,jeanpaolodilorenzo,1.2K,246.6K,1.19K,1.2
22598,brray,590,246.6K,590,5.1
22599,brimob_id,5.8K,246.6K,5.83K,0.6
22600,thanda.hlaing,778,246.5K,778,0.7
22601,thecrazyindianfoodie,3.9K,246.5K,3.86K,1.2
22602,canaltelecaribe,13.1K,246.5K,13.10K,0.4
22603,carminashoemaker,2.4K,246.5K,2.37K,0.6
22604,justageneralsurgeon,1.3K,246.5K,1.31K,0.8
22605,costatitch,265,246.5K,265,3
22606,dicasdecasaofficial,2.7K,246.5K,2.72K,0.6
22607,gdbee,0.9K,246.5K,0.92K,9.1
22608,swamivivekananda_,721,246.5K,721,1.5
22609,studiomk27,1.1K,246.4K,1.13K,1.1
22610,themomsco,3.8K,246.4K,3.80K,0.1
22611,americanbully_universe,344,246.4K,344,0.3
22612,budare_bistro,3.3K,246.4K,3.34K,0.4
22613,videogametatts,12K,246.4K,12.05K,0.8
22614,officialnannini,194,246.4K,194,2.3
22615,sakshisharma68,815,246.3K,815,2.5
22616,nindykaur,2.2K,246.3K,2.24K,3.7
22617,larazona_,2.2K,246.3K,2.19K,1
22618,lebanesechats_,2.3K,246.3K,2.27K,0.4
22619,highertohealth,8K,246.3K,7.95K,0.4
22620,irene.aldana,3.1K,246.3K,3.12K,6.5
22621,jamestaylor_com,2.3K,246.3K,2.27K,0.6
22622,ko,575,246.3K,575,5
22623,lacrosseunlimited,7.6K,246.3K,7.60K,1.6
22624,cloutfitts,1.3K,246.3K,1.27K,2.7
22625,jeansindustrycom,1.5K,246.3K,1.47K,0.8
22626,lucierheaume,1.4K,246.2K,1.37K,7.3
22627,myproteines,5.5K,246.2K,5.53K,0.6
22628,underluckystars,316,246.2K,316,0.1
22629,byjus_app,1.6K,246.2K,1.56K,1.6
22630,ohwondermusic,1.3K,246.2K,1.25K,5.6
22631,cut,336,246.2K,336,5.5
22632,rixospremiumseagate,479,246.2K,479,0.5
22633,naghamatt,834,246.1K,834,0.2
22634,_marimadrid,1.3K,246.1K,1.33K,4.9
22635,fitriliza,7.1K,246.1K,7.09K,0.2
22636,alpanabuch19,803,246.1K,803,2.1
22637,bridgetregan,0.9K,246.1K,0.92K,5.5
22638,caffeine_officially,3.2K,246.1K,3.15K,1.6
22639,theankitarai,2K,246.1K,2.01K,0.8
22640,bollywood_newso3,5K,246K,4.98K,0.6
22641,berkleecollege,1.5K,246K,1.48K,0.8
22642,trokiando,8.2K,246K,8.16K,2.1
22643,aynotdead,3.5K,246K,3.55K,0.4
22644,thecottagejournal,3.1K,246K,3.08K,1.4
22645,stannze,1K,246K,0.96K,0.9
22646,fashiogalsz,4.8K,246K,4.81K,1.3
22647,jvs.indonesia,7.7K,246K,1,0.1
22648,kapilsharmashow,426,246K,426,2.5
22649,instylegermany,6.6K,248K,6.58K,0.4
22650,shasa_fly,648,248K,648,1.5
22651,banjarmasinfood,7.6K,248K,7.58K,0.5
22652,chagiiamelia,554,247.9K,554,2
22653,nehayadav9270,517,247.9K,517,1.6
22654,kimchichicbeauty,1.4K,247.9K,1.40K,1
22655,cecilxu,3.7K,247.9K,3.72K,0.5
22656,ngajihidup,11.4K,247.9K,11.43K,0.3
22657,lucygrassso,605,247.9K,605,1.5
22658,arilfazrie,341,247.9K,341,2.3
22659,anton,82,247.9K,82,1.5
22660,thedaxnewman,201,247.9K,201,9.3
22661,withkonic,5.8K,247.9K,5.84K,5.6
22662,goalaircraft,7.3K,247.9K,7.31K,0.7
22663,whatdoyoumeme,754,247.9K,754,0.5
22664,rockyj1,288,247.9K,288,3.5
22665,michaelcostefr,6.4K,247.8K,6.41K,1.3
22666,manikurchuk,4.1K,247.8K,4.14K,0.6
22667,manesbymell,463,247.8K,463,3.3
22668,margaretvivi,1K,247.8K,0.99K,1.4
22669,chelseagrinofficial,1.2K,247.8K,1.20K,2.1
22670,cook.vegetarian,1.1K,247.8K,1.14K,0.5
22671,anjatodorovic11,2.7K,247.8K,1,2.3
22672,vidadalarajini,743,247.8K,743,4.5
22673,nawfanurie,1.6K,247.7K,1.64K,1.3
22674,mmstorecolombia,1.3K,247.7K,1.34K,0.4
22675,rs1elvis,156,247.7K,1,0
22676,elopementlove,2.7K,247.7K,2.74K,1
22677,nikk_la,1.4K,247.7K,1.39K,1.4
22678,fizie_hotfm,5.5K,247.7K,5.51K,0.9
22679,benefitph,6.8K,247.7K,6.77K,0
22680,alexpoatanpereira,1.1K,247.7K,1.08K,2.3
22681,seven_nguyen56,833,247.7K,833,3.8
22682,behrouzbiryani,1.5K,247.7K,1.45K,0.8
22683,themibuilder,47.7K,247.7K,47.70K,0.1
22684,official_solonapolicalcio,4.2K,247.7K,4.16K,3.8
22685,bharat_raj_official,1.7K,247.7K,1.72K,4.2
22686,katherinaolivia,112,247.7K,112,1.6
22687,deep_goswami_7_,160,247.7K,160,3.7
22688,diku_rathod_123,1.1K,247.7K,1.07K,0.2
22689,artwarriors_,4K,247.6K,4.04K,1.5
22690,sheingermany,8.4K,247.6K,8.40K,0.6
22691,capellarodrigo,2K,247.6K,2.03K,1.2
22692,hardscent,1K,247.6K,0.97K,0.8
22693,flashtattoos,4.1K,247.6K,4.12K,0
22694,jazzdotorg,2.8K,247.6K,2.81K,0.3
22695,bayuucilrh57,1.4K,247.6K,1.42K,1.8
22696,emilio_villalba,0.9K,247.5K,0.94K,2.8
22697,1843mag,2.6K,247.5K,2.57K,0.4
22698,chicodocaranguejocumbuco,0.9K,247.5K,0.94K,0.2
22699,lena_dance_oficial,19,247.5K,19,1.2
22700,ljclarkson,2.9K,247.5K,2.92K,0.4
22701,pegparnevik,3.3K,247.5K,3.27K,3.4
22702,mulan_bae,1.2K,247.5K,1.16K,2.7
22703,nada_nadir,1.4K,247.5K,1.40K,1.4
22704,mudterrain4wd,38K,247.5K,1,0
22705,lucaass_henrique_,885,247.5K,885,4.8
22706,lidlsrbija,1.8K,247.5K,1.85K,1.3
22707,ishwetagulati,2.6K,247.5K,2.58K,2.2
22708,roshnimisbah,651,247.5K,651,3.8
22709,oneokrockworld,2.1K,247.5K,2.08K,6.5
22710,360vuz,751,247.5K,751,0
22711,taikinrestaurant,2.4K,247.4K,1,0
22712,rashmika___mandanna,1.8K,247.4K,1.82K,0.7
22713,aditi_sajwan,2.3K,247.4K,2.31K,1.5
22714,altrarunning,2K,247.4K,2K,0.7
22715,priyankaabhuti,147,247.4K,147,14.9
22716,mariamismailp,335,247.4K,335,0.6
22717,ganandoya,144,247.4K,144,2.8
22718,_gymnastisabelle_,2.6K,247.4K,2.61K,1.7
22719,mandi_vakili,494,247.4K,494,4.3
22720,uniao1000grau,11.1K,247.4K,11.09K,0.4
22721,chica_orgasmica,2K,247.3K,1,0
22722,ezcosplay,9K,247.3K,8.99K,1.2
22723,chandanprabhakar,95,247.3K,95,12.9
22724,aashariff,1.3K,247.3K,1.28K,0.6
22725,megoosta,2.2K,247.3K,2.21K,2.8
22726,joeybateyofficial,20,247.3K,20,21.4
22727,chillaofficiel,19,247.3K,19,13.6
22728,blackandembodied,200,247.2K,200,1.9
22729,polarpete20,104,247.2K,104,12.3
22730,bong_angels,2.5K,247.2K,2.53K,0.5
22731,jessicaspringsteen,1K,247.2K,1K,8.3
22732,suicida7366,567,247.2K,567,6
22733,bollywoodconnect2,5.8K,247.1K,5.79K,0.7
22734,street.framez,324,247.1K,324,1.9
22735,bront_palarae,1.4K,247.1K,1.37K,1.2
22736,scootabrad,426,247.1K,426,2.3
22737,liliankan,4.1K,247.1K,4.05K,1.2
22738,sleepysta,713,247.1K,713,0.8
22739,isthegrandtour,1.1K,247.1K,1.13K,4.7
22740,bella,85,247.1K,85,8.4
22741,ploo3o,44,247.1K,44,20.5
22742,paulyshore,1.2K,247K,1.25K,0.9
22743,elaoglobo,15.2K,247K,15.17K,0.2
22744,_glen_luchford,1.1K,247K,1.12K,0.7
22745,vsbeauty,868,247K,868,0.2
22746,warunk_teteh,15.6K,247K,1,0
22747,courtneymelba,2.4K,249K,2.40K,2
22748,karabakh,320,249K,320,0.5
22749,jf_maier,1.3K,249K,1.26K,1.4
22750,baitaca_oficial,146,249K,146,4.2
22751,faa,3.2K,249K,3.24K,0.4
22752,anitaczylija,509,249K,509,5.2
22753,flavioventurinioficial,3.4K,248.9K,3.42K,2
22754,janinamanipol,2.5K,248.9K,2.54K,2
22755,sorce_photography,6.8K,248.9K,6.82K,0.4
22756,fotoallison,3.1K,248.9K,3.09K,3.5
22757,segundasemcarne,3.1K,248.9K,3.05K,0.8
22758,karasiraclarisse,1.2K,248.9K,1.16K,1.1
22759,aleradetic,480,248.8K,480,2.3
22760,boochaces,16.4K,248.8K,16.38K,3.5
22761,katheyogui,443,248.8K,443,2.1
22762,commonkings,3.1K,248.8K,3.15K,1.1
22763,sou_fujimoto,862,248.8K,862,2.6
22764,mapexdrums,1.1K,248.8K,1.09K,0.4
22765,strictly_weightloss,2.1K,248.8K,2.09K,0.6
22766,luxsouthari,822,248.8K,822,1
22767,ryansdigitalworld,385,248.8K,385,1.4
22768,skupinaslza,1.4K,248.8K,1.36K,0.8
22769,spacemovil_mx,27,248.8K,27,7.5
22770,abolanleabdulsalam,2.2K,248.8K,2.20K,0.2
22771,wagamama_uk,1.7K,248.8K,1.67K,0.8
22772,nemazalany,93,248.8K,93,5.8
22773,liyakebede,2.5K,248.8K,2.49K,1.2
22774,neguitoborjas,1.6K,248.8K,1.55K,1
22775,fliplikez,1.2K,248.8K,1.22K,5.8
22776,rike_de,228,248.7K,228,3.5
22777,niseng,1.5K,248.7K,1.52K,0
22778,shopoyemwen,29.8K,248.7K,29.81K,0.1
22779,prabhsinghhhh,1.3K,248.7K,1.31K,1.2
22780,badesken,6.9K,248.7K,6.89K,1.8
22781,wearefeelgoodclub,1.6K,248.7K,1.63K,2
22782,feedyourgirlfriend,2.4K,248.7K,2.43K,1.6
22783,thelostchefff,1.7K,248.7K,1.71K,4.2
22784,sesabat,2.3K,248.7K,2.32K,1.5
22785,dragoesdareal1984,3.8K,248.7K,3.76K,0.9
22786,lampard_electronicss,4.2K,248.6K,4.25K,0.1
22787,onasaezoficial,2.4K,248.6K,2.41K,0.6
22788,chloecalmon,2.9K,248.6K,2.93K,2.1
22789,gabidesangles,11.1K,248.6K,11.09K,2.5
22790,kapillohia_ftnssfreak,882,248.6K,882,3.5
22791,babyledweanteam,1.4K,248.6K,1.44K,0.4
22792,ifbb_pro_league,3.2K,248.6K,3.21K,0.5
22793,klinvc,12,248.6K,12,23.8
22794,averarabrand,5.8K,248.6K,5.79K,0.2
22795,akbarrais,480,248.6K,480,3.2
22796,mikaelamartinez,5.5K,248.6K,5.54K,0.9
22797,nitish__chavan,692,248.5K,692,6.4
22798,kennyjr,1.7K,248.5K,1.69K,3.4
22799,bohogang,1.8K,248.5K,1.83K,1.8
22800,borisbokir_,841,248.5K,841,6.2
22801,shesofly,1.6K,248.5K,1.55K,2.9
22802,heerrr_09_,178,248.5K,178,6
22803,aphrodite_1979,374,248.5K,374,3.8
22804,svddendeath,16,248.5K,16,9.2
22805,jaqueandrade_f,96,248.5K,96,1.9
22806,sunlifetamil,7K,248.5K,7.05K,0
22807,kollywood.media,514,248.5K,514,0.4
22808,dilminhasincera,29.4K,248.5K,29.36K,0.5
22809,malikyoba,2.3K,248.5K,2.32K,0.7
22810,ladalyumos,1.4K,248.5K,1.38K,3.6
22811,tgr_wrc,1.6K,248.4K,1.57K,1.8
22812,insta80s90s,4.6K,248.4K,4.59K,2.8
22813,singita_,3.1K,248.4K,3.11K,1.3
22814,praveenbhat,6.7K,248.4K,6.70K,1.1
22815,donaldobarros,31,248.4K,31,1.4
22816,truebotanicals,2.9K,248.4K,2.85K,0.1
22817,chiarasbardellati,2.2K,248.4K,2.24K,1.5
22818,owwsiccc,107,248.4K,107,7.2
22819,igboweddingng,15.1K,248.4K,15.08K,0.5
22820,komeda,1.4K,248.4K,1.43K,0.4
22821,usopengolf,2K,248.4K,2.01K,2
22822,spippenjr,166,248.4K,166,11
22823,urbeautyhacks,166,248.4K,166,0
22824,clube160,9.6K,248.3K,9.56K,0.5
22825,otonatabi_japan,730,248.3K,730,3
22826,rap3dair,7.4K,248.3K,7.40K,1.3
22827,madhumithasivabalaji,687,248.3K,687,3.2
22828,streetsoccerint,5.4K,248.3K,5.44K,2.1
22829,phish,468,248.3K,468,3.8
22830,modelwerk,3.9K,248.3K,3.90K,0.3
22831,lorochkamuratova,721,248.3K,721,0.9
22832,loopycases,3.2K,248.3K,3.23K,0.3
22833,jennifer_yepez,3.7K,248.3K,3.69K,0.4
22834,anastasia_fotachi,3K,248.3K,2.99K,1.2
22835,aspears,1.5K,248.2K,1.54K,2.1
22836,jaxxon,99,248.2K,99,0.7
22837,_paulina_andreeva_,41,248.2K,41,7
22838,senafonseka,687,248.2K,687,0.6
22839,emilytosta,176,248.2K,176,10.9
22840,fernandogguerra,7.4K,248.2K,7.41K,0.8
22841,bunny_numay,8.5K,248.2K,8.47K,0.6
22842,kelly_tmi,1.4K,248.2K,1.43K,1
22843,_vishalbaheti_,171,248.2K,171,1.2
22844,sharulkamal_,452,248.2K,452,1.2
22845,badrikekushal,506,248.2K,506,4
22846,themarcosalvv,74,248.1K,74,9.5
22847,oracionesparadios,9.9K,250K,9.92K,3
22848,jesswilson,2.1K,250K,2.06K,2.8
22849,rinzje,331,250K,331,4.3
22850,theheatherbrooker,1.5K,249.9K,1.45K,2.4
22851,mandypatinkin,336,249.9K,336,5.2
22852,shylebyastha,3.9K,249.9K,3.90K,0.6
22853,portaldesemijoias2,11.5K,249.9K,11.46K,0.1
22854,jegsperformance,3.3K,249.9K,3.27K,0.6
22855,aleena_biju98,1.6K,249.9K,1.64K,2.7
22856,martina_attili,113,249.9K,113,4.3
22857,bodiljane,2.7K,249.9K,2.66K,0.6
22858,airbuslovers,528,249.8K,528,1.4
22859,stephgj94,1.6K,249.8K,1.58K,1.3
22860,scarlettjonesofficial,37,249.8K,37,3.6
22861,m.j.gonzales,126,249.8K,126,2.8
22862,arden_nl,1K,249.8K,0.98K,2.5
22863,hushpuppiescl,2.3K,249.8K,2.26K,0.3
22864,bloomandwild,2.7K,249.8K,2.65K,1.2
22865,monica_moda_feminina_,2.4K,249.8K,1,0
22866,andrewcuomo,247,249.8K,247,9
22867,adriana_maria_,1.2K,249.8K,1.22K,4.2
22868,mafiabike,2.2K,249.8K,2.16K,0.7
22869,pedrocalaislagum,0.9K,249.8K,0.94K,16.9
22870,hrxbrand,2.1K,249.7K,2.11K,0.7
22871,anjiasmara,4.1K,249.7K,4.15K,0.3
22872,velhageracao,5.1K,249.7K,5.10K,3.5
22873,lilys_sweets,1.4K,249.7K,1.44K,0.8
22874,amadosfelinos,3.7K,249.7K,3.72K,3.9
22875,besteverfoodreviewshow,1K,249.7K,0.97K,1.2
22876,blouzes,2.9K,249.7K,2.94K,0.8
22877,elisiaaromas,3.7K,249.7K,3.66K,0
22878,saarazai,395,249.7K,395,2
22879,jens_stahl,3.5K,249.7K,3.47K,1.4
22880,ployphat23,78,249.7K,78,5.6
22881,anuragthakur.in,587,249.7K,587,5.9
22882,gh2nia_blaleb,1K,249.7K,1K,0.3
22883,pasionriverplatense.ok,6.7K,249.6K,6.67K,2.8
22884,aladdin,1.1K,249.6K,1.12K,0.6
22885,qizlar_official_,3.6K,249.6K,3.57K,0.1
22886,dramablessing,5.6K,249.6K,5.63K,1.6
22887,sridivyafc_,2.2K,249.6K,2.16K,0.9
22888,miniaturecookingshow,373,249.6K,373,5.3
22889,factionskis,2.6K,249.6K,2.64K,3.8
22890,saumyasharma7_,222,249.5K,222,10.1
22891,deepakdhillonofficial,2.6K,249.5K,2.57K,2.7
22892,chelseadenofa,4.5K,249.5K,4.49K,1.6
22893,financialadda.in,3.1K,249.5K,3.12K,0.4
22894,kailandmorris,218,249.5K,218,2.7
22895,luxuryhomesjohannesburg,1.6K,249.5K,1.61K,1.4
22896,dianarikasari,11.4K,249.5K,11.36K,0.7
22897,ajeeborters_family,15.8K,249.5K,15.83K,0
22898,giorgiamondani,6.4K,249.4K,6.42K,0.7
22899,krsikapamarija,1.8K,249.4K,1.84K,1.5
22900,beaccchhoussse,55,249.4K,55,9.9
22901,rockymovie,343,249.4K,343,2.6
22902,chefclaresmyth,610,249.4K,610,1.5
22903,michellewkwan,1.2K,249.3K,1.20K,2.6
22904,mortenofficial,761,249.3K,761,2.2
22905,dmo,99,249.3K,99,9.7
22906,hypebeastzh,28.6K,249.3K,28.62K,0.3
22907,anijavakhi,1.2K,249.3K,1.19K,3.7
22908,venomous_dolly,136,249.3K,136,9.1
22909,abdul_khoza,459,249.3K,459,2.8
22910,ironandair,3.8K,249.2K,3.80K,1.2
22911,dahacokgezicez,268,249.2K,268,3.6
22912,cindymonika_,706,249.2K,706,3.6
22913,mankowski.borys,1.8K,249.2K,1.80K,2.3
22914,alhajitaiwo,1K,249.2K,0.98K,0.4
22915,idaengberg,1.6K,249.2K,1.60K,2.3
22916,caffeinearmy,1.4K,249.2K,1.42K,0.4
22917,annieplaysguitar,531,249.2K,531,2.5
22918,ivancalderonz,344,249.2K,344,0.8
22919,rexintal,820,249.2K,820,1.8
22920,melda_inmelda,156,249.2K,156,2.7
22921,mayed.hmaid,243,249.2K,243,0.8
22922,maracalli,892,249.2K,892,4.8
22923,alminerech,3.2K,249.1K,3.23K,0.4
22924,leewoon19,855,249.1K,855,2.4
22925,skidoo,1.5K,249.1K,1.50K,2.2
22926,jaesukkim,4.5K,249.1K,4.50K,1.1
22927,a_street_cat_named_benson,353,249.1K,353,12.9
22928,mr.foodie_nepal,3.9K,249.1K,3.88K,3.3
22929,hirascafepk,3.5K,249.1K,3.52K,2
22930,blaazofficiel,173,249.1K,173,0.1
22931,13blockofficiel,28,249.1K,28,10
22932,dm_trenditup,1.6K,249.1K,1.59K,0.3
22933,lifewithaliina,507,249.1K,507,7.9
22934,plantbased_food_and_travel,1.1K,249K,1.12K,4.4
22935,motfrais,325,249K,325,7.7
22936,wex,2.9K,249K,2.95K,1.1
22937,delano,8,249K,8,2.6
22938,ahmedrakaba,730,249K,730,2.7
22939,newyorkmodels,4.1K,249K,4.09K,0.2
22940,teamlab,1.6K,251K,1.58K,1.3
22941,travelandleisureasia,2.8K,251K,2.80K,0.3
22942,cvvoficial,1.1K,250.9K,1.09K,0.6
22943,shawnmodel,1.7K,250.9K,1.66K,1.8
22944,huffpostitalia,4.9K,250.9K,4.89K,1
22945,_chrisevans____,629,250.9K,629,7.6
22946,milftvmas,1.3K,250.9K,1.35K,0.9
22947,tiamamirbakhtiar,229,250.9K,229,13.2
22948,maliqalyandradatu,2K,250.9K,1.99K,0.3
22949,portsho,627,250.9K,627,0.4
22950,enlofitness,2.8K,250.9K,2.82K,0.5
22951,pranavchandranofficial,844,250.9K,844,1.9
22952,cute_press,854,250.9K,854,0.2
22953,thirdeyepinecones,7.9K,250.8K,7.94K,0.1
22954,powerlookofficial,3K,250.8K,2.97K,1.2
22955,samsungmexico,1.9K,250.8K,1.86K,0.7
22956,mika_seri6,33,250.8K,33,30.5
22957,natalia_studio,375,250.8K,375,1.3
22958,mohamedabdelgwadd,192,250.8K,192,2.7
22959,hipcamp,1.6K,250.7K,1.56K,1.1
22960,treasure_muse,2K,250.7K,1.95K,0.7
22961,laprairie,722,250.7K,722,0.5
22962,mgthemortgageguy,2.6K,250.7K,2.62K,0.5
22963,adindanegara,327,250.7K,327,5.4
22964,pierregagnaire,346,250.7K,346,1.9
22965,jejefanai,766,250.7K,766,7.3
22966,roryasyari,1.8K,250.7K,1.84K,2
22967,auralee_tokyo,436,250.7K,1,0.9
22968,mahro_jalore,1.3K,250.7K,1.29K,0.3
22969,sinden_modern,1.6K,250.6K,1.64K,0.8
22970,karindimitrovova,1.7K,250.6K,1.66K,1.7
22971,aslekaar,27,250.6K,27,23.3
22972,sehgaldhruv90,324,250.6K,324,9.5
22973,j_o_r_t_a_y,176,250.5K,176,7.2
22974,rashmi_polra_vekariya,761,250.5K,761,1.3
22975,malikarakurt,1.7K,250.5K,1.73K,0.9
22976,elitemodellooknigeria,3K,250.5K,2.96K,0.3
22977,rahul_dito,855,250.5K,855,9
22978,isufigureskating,2.2K,250.5K,2.25K,2.1
22979,roberta.cbarros,624,250.5K,624,2
22980,cara_miminaa,167,250.5K,167,0.1
22981,lorealprobr,516,250.5K,516,2.9
22982,elena_shinohara,134,250.5K,134,33.4
22983,rivianofficial,151,250.5K,151,5.6
22984,primaryweapons,3K,250.5K,2.96K,0.8
22985,shaimahafezofficial,1.9K,250.5K,1.86K,0.7
22986,okdeon,1.1K,250.5K,1.15K,3.8
22987,thedoxie_lovers,2.2K,250.5K,2.18K,3.4
22988,adammusik_,208,250.5K,208,2.7
22989,yasya_degtyareva_official,1.9K,250.5K,1.85K,2.5
22990,chelzeaverhoeven,179,250.4K,179,8
22991,rizanovauz,5.9K,250.4K,5.90K,0.1
22992,scropoficial,24,250.4K,24,2.9
22993,scottmorrisonmp,842,250.4K,842,3.4
22994,hydrafacial,2.1K,250.4K,2.14K,0.6
22995,terelubcampos,203,250.4K,203,2.5
22996,mido.belahbib,831,250.4K,831,1.2
22997,melisayamac.1,199,250.4K,199,8.5
22998,saanjh_boutique,4.5K,250.4K,4.47K,0.4
22999,prabhleenkaur_artistry,1.7K,250.4K,1.70K,3.4
23000,rangdaari_,466,250.4K,466,1.6
23001,madhavasrockband,1.4K,250.3K,1.44K,5.6
23002,may_ariadna,10.4K,250.3K,10.41K,0.9
23003,anisdondemina,2.3K,250.3K,2.28K,9.3
23004,sbtriooficial,1.1K,250.3K,1.11K,0.4
23005,savage_gear_official,2.5K,250.3K,2.46K,1
23006,ankit.mewara1,424,250.3K,424,1.2
23007,ericebron,434,250.3K,434,6.5
23008,dukeuniversity,2.7K,250.2K,2.75K,3.3
23009,grilo,2.3K,250.2K,2.34K,4.1
23010,bullnene,104,250.2K,104,2.6
23011,sprinoir,154,250.2K,154,4.5
23012,ammyvirkfansclub,3.7K,250.2K,3.74K,1.1
23013,joancollinsdbe,1.7K,250.2K,1.68K,2.5
23014,jor_jordan,32.2K,250.2K,1,0
