,avatar,posts,followers,likes,engagement_rate
231,monsoonthedesignerstore,2.2K,23K,2.22K,0.2
232,maddybarber,3.7K,23K,3.72K,1.8
233,abbasdalal,481,23K,481,1.5
234,socialgian.in,346,23K,346,0.8
235,criscarter1965,195,23K,1,0
236,triyasshop07,8.1K,23K,8.11K,0
237,albayruela,425,23K,425,2.8
238,lianefoly,1.2K,23K,1.19K,3.3
239,first_saturday_lime,1K,23K,0.99K,0.8
240,amansvetistefan,189,23K,189,3.9
241,ouichou_coiffeur_pro,185,23K,185,3.5
242,manonpaardenkooper,1.3K,23K,1.30K,4.9
243,wild_hearts,4.7K,23K,4.71K,0.5
244,the_blackwings,365,23K,365,3.9
245,spiritualtribe.1,1.7K,23K,1.66K,0.1
246,arizonatile,1.8K,23K,1.83K,0.7
247,angelbeachsl,0.9K,23K,0.93K,0.9
248,blogkitchenstory,1.4K,23K,1.41K,1.7
249,ubaid_luies_,1.1K,23K,1.05K,0.8
250,worldofkolkata,3.9K,23K,3.94K,0.9
251,cewemagyarorszag,1.9K,23K,1.86K,0.8
252,nilufar.disha,1K,23K,0.99K,0.7
253,ruteassuncao,268,23K,268,4
254,usandonike,222,23K,222,5.7
255,jackmtravels,614,23K,614,2.5
256,smalljezzy,311,23K,311,0.3
257,mohitkumarofficial,635,23K,635,2.9
258,casaramoon,569,23K,569,11.4
259,gibsonpics,260,23K,260,5.9
260,heybrai,200,23K,200,1.2
261,r4ma._,0,23K,1,0
262,mojbar.pl,1K,23K,0.96K,1.3
263,abrewamafia1,266,23K,266,7.2
264,perdelendik,704,23K,704,0.9
265,laspijitanas,37,23K,37,10.7
266,evotifilm,649,23K,649,2.5
267,photorupt_rajasthan,1.2K,23K,1.16K,2
268,_afreshpurefood,285,23K,285,1.7
269,n4babil,175,23K,175,16.6
270,toufeeq2626,7.9K,23K,1,0.2
271,audible_in,600,23K,600,0.2
272,terataiyoga,750,23K,750,10.4
273,paulistano.basquete,2.9K,23K,2.88K,0.9
274,sikapa___,116,23K,116,3.6
275,sidishaqq,47,23K,47,0.6
276,cocacola_panama,826,23K,826,0.3
277,billa_cz,1.9K,23K,1.87K,1.2
278,backtothecabin,98,23K,98,4.6
279,marciofariasfoto,4K,23K,4K,1.2
280,lishaakapoor,432,23K,432,4.9
281,sapnaraich,423,23K,423,3.3
282,rangel_rosa,276,23K,276,13.1
283,regalos.conamorusa,2.2K,23K,2.25K,0.1
284,art_of_a.j,490,23K,490,1.7
285,theharmonist,235,23K,235,0.2
286,hrishimandke,1.8K,23K,1.79K,11.5
287,931wzak,12.1K,23K,12.07K,0.2
288,thecultivatedfool,0.9K,23K,0.90K,1
289,mancillak_,152,23K,152,2.7
290,debasrideb,2.5K,23K,2.48K,1
291,nautankideep,518,23K,518,11.9
292,rapunzels.fortress,4.3K,23K,4.26K,1
293,britishboxers_bbtv,4.3K,23K,4.26K,0.5
294,6gzx,2,23K,2,17.3
295,rohanyalhaa,499,23K,499,23.6
296,raramac_raramcaloney,1.9K,23K,1,0
297,aliaabhattbaby,1.4K,23K,1.43K,4.8
298,al_sadar_trading,314,23K,314,0.8
299,padrepanesso,1.3K,23K,1.31K,4.7
300,alessandra.s.abreu,2K,24K,2.03K,0.5
301,magodoecommerce,1.9K,24K,1.86K,0.3
302,robynhurder,1.3K,24K,1.29K,10.6
303,djjefreykings,83,24K,83,0.3
304,miamanteprofessional,669,24K,669,0.7
305,germanyinindia,439,24K,439,1.8
306,tilaksharmaa,503,24K,503,0.6
307,casskoncept1,2.2K,24K,2.22K,1
308,espacoprimebebidas,2K,24K,1,0.2
309,pixeleyes_,437,24K,437,5.2
310,organicsupplybkk,1K,24K,1K,0.6
311,goodtalkthanks,373,24K,373,6.7
312,indian_autoclub,821,24K,821,3.8
313,writer0209,1.2K,24K,1.25K,1.7
314,krdnzvideo,494,24K,494,4.6
315,tobleroneid,136,24K,136,1.9
316,studio14byuroosa,1.3K,24K,1.31K,1.9
317,paaspopfestival,796,24K,796,5.8
318,reelpur,446,24K,446,1.3
319,valiant_events,733,24K,733,19.4
320,d__degea,1.2K,24K,1.16K,0.9
321,cooperchapman,1.9K,24K,1.94K,3.5
322,inspired_jogan,620,24K,620,8.8
323,ghantaguru_,195,24K,195,72.7
324,ombregal,426,24K,426,1.4
325,andra_nation,0,24K,0,0.6
326,maalagha_official,617,24K,617,19.3
327,jmsportshop_,12.7K,24K,1,0.1
328,diy_art0,62,24K,62,0.5
329,kainazjussawalla,589,24K,589,3
330,foodie_delhi_mumbai,760,24K,760,2.1
331,style_by_dolaaapo,647,24K,647,0.7
332,defrutassecas,348,24K,348,0.5
333,irina_._ru,2K,24K,2K,3.2
334,algerianarchives,1.3K,24K,1,0
335,_vandi_branthann_,2.1K,24K,2.15K,2.9
336,enmanuelhansel,6,24K,6,31.7
337,ryanivanstephen,2.6K,24K,2.58K,1.5
338,village_of_photographers,806,24K,806,3.4
339,youssef_moro,320,24K,320,18.1
340,asahrego,24,24K,24,0.1
341,travel.curios,1.4K,24K,1.42K,0.7
342,ayuso_magichands,680,24K,680,4
343,komronsinger,140,24K,140,1.1
344,nikaurbas,1.3K,24K,1.27K,1.7
345,teenagers_books__,72,24K,72,1.6
346,plamjurbrasil,414,24K,1,0
347,baltimama,816,24K,816,0.2
348,tamarindinstitute,1.8K,24K,1.85K,1.2
349,infodensel,3.7K,24K,3.74K,0.6
350,lalaji_thakor_5055,246,24K,246,8.1
351,a_m_i_r.____,217,24K,217,1
352,kaosalondivision,1.8K,24K,1.77K,0.2
353,designerjamiedrake,2.1K,24K,2.06K,2.3
354,malebranchekyoto,1.7K,24K,1.71K,4.5
355,ladylikeuniversity,1K,24K,1K,1.2
356,cindycindz,301,24K,1,0
357,visracing,876,24K,876,2
358,nicolemadethat,170,24K,170,4.5
359,erikethiago_,81,24K,81,5.8
360,_s_a_n_t_h_l,604,24K,604,1.5
361,bursalokerjatengjogja,5.7K,24K,5.73K,0.1
362,bboytwisty,517,24K,517,1.5
363,gigisalcedo_,159,24K,159,3.6
364,royelgolds,680,24K,680,0
365,masonnaimgran,77,24K,77,27.5
366,mewenm,1K,24K,0.98K,2.1
367,pemkabbadung,4.9K,24K,4.86K,0.3
368,chennaigramz,1.4K,24K,1,0.1
369,parrizzlimeandchill,6.4K,24K,6.38K,0.3
370,jay_huff,21,24K,21,6.6
371,lavi_k_chouhan,667,24K,667,3
372,dalmobarbaro,716,24K,716,1.6
373,haif_beauty,325,24K,325,0.4
374,urichmond,2.4K,24K,2.44K,5.1
375,whyarai,817,24K,817,2.3
376,luxurycards,1.3K,24K,1,0
377,dagdusheth_ganpati,534,24K,534,17.1
378,noormahalkarnal,1.3K,24K,1.27K,1.5
379,yesi.rismayanti,2.4K,24K,1,0
380,mixinsomemagic,619,24K,619,3.3
381,kitchenart_ist,1.5K,24K,1.46K,1.6
382,jh15deoghar,497,24K,497,8.9
383,_raphaaaa,48,24K,48,15.3
384,finnbilous,724,24K,724,9.1
385,jjayhills,25,24K,25,5.5
386,johnburtonart,389,24K,389,2.4
387,joshahdashian,1.6K,24K,1,0
388,yugenkai,665,24K,665,6
389,neheart_anju_80,1.5K,24K,1.49K,0.5
390,photoshelter,2K,24K,1.98K,0.7
391,crazeekidtattoo,544,24K,544,5
392,jpcze,668,24K,668,3.6
393,foodie_ting,1.6K,24K,1.61K,1.2
394,felixfarmbdg,2.7K,24K,2.68K,0.7
